source,user_type,date,feedback
Interview,First-time evaluator,2026-07-01,"I liked the product, but onboarding was confusing. I did not know what to configure first after inviting my team."
Support ticket,Admin user,2026-07-02,"The permissions screen is unclear. I cannot tell which role gives finance users access to exports."
Sales call,Budget owner,2026-07-03,"Pricing is hard to compare. I need to understand which plan includes audit logs before I can approve the upgrade."
In-app survey,Power user,2026-07-04,"Bulk edits would save us a lot of time. Right now the workflow is too manual when we manage many accounts."
Support ticket,Admin user,2026-07-05,"We are blocked because SSO setup throws an error and our security team needs this before rollout. Contact me at maya@example.com."
Interview,First-time evaluator,2026-07-06,"The setup checklist helped, but I still was not sure whether inviting teammates would notify everyone immediately."
In-app survey,Team manager,2026-07-07,"The dashboard is useful, but I need better visibility into which teams completed setup."
Support ticket,Power user,2026-07-08,"Exporting reports is slow and sometimes missing the latest status. It makes it hard to trust the weekly review."
Sales call,Budget owner,2026-07-09,"The trial is helpful, but billing by seat is unclear for contractors who only need occasional access."
Interview,Admin user,2026-07-10,"Role names feel too technical. I need examples that explain what each permission actually allows."
Support ticket,Team manager,2026-07-11,"I keep copying the same settings across workspaces. We need an automate or bulk copy option."
In-app survey,First-time evaluator,2026-07-12,"I was worried I would break something during setup because the product did not show a preview before applying changes."

